Data;Frase do usuário;Intenção;Confiabilidade;Status;Nova Intenção
2018-11-11 22:33:31 +00:00;o que e jubilamento?;Cancelamento de Matrícula;90.39%;Aprovado;
2018-11-11 22:33:13 +00:00;quero resetar minha senha;Alteração de Senha;93.41%;Não analisado;
2018-11-11 22:32:49 +00:00;perdi meu cartao universitario;Cartão Universitário;96.11%;Não analisado;
2018-11-11 22:32:19 +00:00;aluno especial;Aluno Especial;99.86%;Não analisado;
2018-11-11 22:32:09 +00:00;oi quero saber sobre jubilamento;Jubilamento;86.53%;Não analisado;
2018-11-11 22:31:57 +00:00;como funciona abono de falta?;Abono de Falta;83.11%;Não analisado;
2018-11-11 22:31:36 +00:00;oi quero saber sobre aluno especial;Aluno Especial;95.26%;Não analisado;
2018-11-11 22:31:23 +00:00;alteracao de matricula;Alteração de Matrícula;95.26%;Não analisado;
2018-11-11 22:31:10 +00:00;oi quero saber sobre jubilamento;Jubilamento;86.53%;Não analisado;
2018-11-11 22:23:13 +00:00;oi quero saber sobre jubilamento;Jubilamento;86.83%;Não analisado;
2018-11-11 22:22:39 +00:00;oi quero saber sobre jubilamento;Jubilamento;86.83%;Não analisado;
2018-11-11 22:22:26 +00:00;oi quero saber sobre jubilamento;Jubilamento;86.83%;Não analisado;
2018-11-11 22:20:57 +00:00;oi quero saber sobre jubilamento;Cancelamento de Matrícula;11.69%;Não analisado;
2018-11-11 22:20:38 +00:00;meu cartao universitario quebrou;Cartão Universitário;92.07%;Não analisado;
2018-11-11 22:20:28 +00:00;meu cartao universitario quebrou, o que eu faco?;Cartão Universitário;44.46%;Não analisado;
2018-11-11 21:09:49 +00:00;preciso resetar minha senha;Alteração de Senha;97.68%;Não analisado;
2018-11-11 21:09:32 +00:00;qual a materia do codigo ma211?;Código de Disciplina;67.83%;Não analisado;
2018-11-11 21:08:53 +00:00;eu perdi meu ra;Cartão Universitário;96.04%;Não analisado;
2018-11-11 21:08:05 +00:00;fiz outro curso, consigo aproveitar as disciplinas?;Aproveitamento de Estudos;77.29%;Não analisado;
2018-11-11 21:07:39 +00:00;ok;Código de Disciplina;27.61%;Não analisado;
2018-11-11 21:07:31 +00:00;queria informacoes sobre bolsa de estudos;Bolsas;91.22%;Não analisado;
2018-11-11 21:07:02 +00:00;faltei pq estava doente, consigo abonar?;Abono de Falta;99.82%;Não analisado;
2018-11-11 21:05:52 +00:00;oi;Código de Disciplina;27.53%;Não analisado;
2018-11-11 21:05:27 +00:00;caderno de horarios;Código de Disciplina;1.33%;Não analisado;
2018-11-11 21:04:48 +00:00;oi;Código de Disciplina;27.53%;Não analisado;
2018-11-11 21:04:25 +00:00;ola, tudo bem?;Cancelamento de Matrícula;2.32%;Não analisado;
2018-11-11 20:58:20 +00:00;desistencia em disciplina o que e?;Desistência em Disciplina;97.19%;Não analisado;
2018-11-11 20:57:52 +00:00;mudanca do ano do meu catalogo;Mudança de catálogo;98.90%;Não analisado;
2018-11-11 20:49:57 +00:00;quero mudar de catalogo;Mudança de catálogo;99.57%;Não analisado;
2018-11-11 20:47:45 +00:00;oi;Código de Disciplina;27.53%;Não analisado;
2018-11-11 20:43:33 +00:00;oi;Código de Disciplina;27.53%;Não analisado;
2018-11-11 20:42:21 +00:00;ou;Código de Disciplina;27.58%;Não analisado;
2018-11-11 20:41:39 +00:00;oi;Código de Disciplina;27.53%;Não analisado;
2018-11-11 20:36:54 +00:00;oo;Código de Disciplina;27.61%;Não analisado;
2018-11-11 20:34:49 +00:00;quero alterar minha matricula ;Alteração de Matrícula;94.02%;Não analisado;
2018-11-11 20:34:39 +00:00;quero alterar minha matricula ;Alteração de Matrícula;94.02%;Não analisado;
2018-11-11 20:34:29 +00:00;quero alterar minha matricula ;Alteração de Matrícula;94.02%;Não analisado;
2018-11-11 20:33:49 +00:00;quero alterar minha matricula ;Alteração de Matrícula;94.02%;Não analisado;
2018-11-11 20:33:41 +00:00;quero alterar minha matricula ;Alteração de Matrícula;94.02%;Não analisado;
2018-11-11 20:31:49 +00:00;👍;Código de Disciplina;27.61%;Não analisado;
2018-11-11 20:31:47 +00:00;quero alterar minha matricula;Alteração de Matrícula;94.02%;Não analisado;
2018-11-11 20:31:23 +00:00;sim ;Código de Disciplina;27.61%;Não analisado;
2018-11-11 20:31:20 +00:00;quero alterar minha matricula ;Alteração de Matrícula;94.02%;Não analisado;
2018-11-11 20:31:12 +00:00;quero alterar minha matricula ;Alteração de Matrícula;94.02%;Não analisado;
2018-11-11 20:29:48 +00:00;sim ;Código de Disciplina;27.61%;Não analisado;
2018-11-11 20:29:40 +00:00;quero alterar minha matricula;Alteração de Matrícula;94.02%;Não analisado;
2018-11-11 20:29:25 +00:00;oi ;Código de Disciplina;27.53%;Não analisado;
2018-11-11 20:26:45 +00:00;perdi meu ra;Cartão Universitário;98.27%;Não analisado;
2018-11-11 20:26:25 +00:00;ra;Cartão Universitário;99.97%;Não analisado;
2018-11-11 20:26:14 +00:00;to com problema meu ra;Cartão Universitário;90.80%;Não analisado;
2018-11-11 20:26:04 +00:00;perdi meu ra;Cartão Universitário;98.27%;Não analisado;
2018-11-11 20:25:56 +00:00;oi;Código de Disciplina;27.53%;Não analisado;
2018-11-11 20:19:28 +00:00;oi;Código de Disciplina;27.53%;Não analisado;
2018-11-11 20:18:40 +00:00;oi;Código de Disciplina;27.53%;Não analisado;
2018-11-11 20:04:00 +00:00;ooo;Código de Disciplina;27.61%;Não analisado;
2018-11-11 03:48:37 +00:00;quais os requisitos para fazer turma especial?;Turma Especial;97.93%;Aprovado;
2018-11-11 03:48:11 +00:00;como e a avaliacao da turma especial?;Turma Especial;94.03%;Aprovado;
2018-11-11 03:47:29 +00:00;como funciona turma especial;Turma Especial;97.20%;Aprovado;
2018-11-11 03:47:14 +00:00;quem pode fazer turma especial?;Turma Especial;98.40%;Aprovado;
2018-11-11 03:47:06 +00:00;quem pode fazer rurma especial?;Turma Especial;44.43%;Aprovado;
2018-11-11 03:46:57 +00:00;quem pode fazer turma especia?;Turma Especial;46.69%;Aprovado;
2018-11-11 03:45:44 +00:00;o quee turma especial?;Turma Especial;99.37%;Aprovado;
2018-11-11 03:43:25 +00:00;voce nao entende preciso falar com um atendente;Agendamento de Atendimento;89.72%;Aprovado;
2018-11-09 21:34:12 +00:00;jh;Código de Disciplina;26.84%;Não analisado;
2018-11-09 21:21:23 +00:00;quero saber o status do meu protocolo;Acompanhar Protocolo;95.20%;Não analisado;
2018-11-09 21:20:28 +00:00;quero fazer alteracao de matricula;Alteração de Matrícula;94.21%;Não analisado;
2018-11-09 21:19:02 +00:00;perdi muitas aulas, posso abonar?;Abono de Falta;99.03%;Não analisado;
2018-11-09 19:55:26 +00:00;quebrei meu ra ;Cartão Universitário;91.73%;Não analisado;
2018-11-09 19:55:16 +00:00;quebrei meu ra ;Cartão Universitário;91.73%;Não analisado;
2018-11-09 19:54:28 +00:00;quebrou meu ra;Cartão Universitário;95.72%;Não analisado;
2018-11-09 19:51:34 +00:00;quebrei meu ra;Cartão Universitário;91.73%;Não analisado;
2018-11-09 19:48:47 +00:00;sim;Código de Disciplina;26.84%;Não analisado;
2018-11-09 19:48:43 +00:00;quebrei meu ra ;Cartão Universitário;91.73%;Não analisado;
2018-11-09 19:48:33 +00:00;oi\;Código de Disciplina;5.52%;Não analisado;
2018-11-09 19:48:24 +00:00;👍;Código de Disciplina;26.84%;Não analisado;
2018-11-09 19:48:20 +00:00;quebrei meu ra ;Cartão Universitário;91.73%;Não analisado;
2018-11-09 19:46:54 +00:00;👍;Código de Disciplina;26.84%;Não analisado;
2018-11-09 19:46:50 +00:00;quebrei meu ra;Cartão Universitário;91.73%;Não analisado;
2018-11-09 19:46:43 +00:00;quero saber sobre alteracao;Intercâmbio;8.21%;Não analisado;
2018-11-09 19:46:23 +00:00;ola;Código de Disciplina;26.81%;Não analisado;
2018-11-09 19:41:17 +00:00;hello;Código de Disciplina;26.84%;Não analisado;
2018-11-09 19:41:07 +00:00;👍;Código de Disciplina;26.84%;Não analisado;
2018-11-09 19:40:57 +00:00;quero mudar de matricula;Alteração de Matrícula;96.65%;Não analisado;
2018-11-09 19:40:46 +00:00; boa tarde, preciso entrar com recurso referente ao processo seletivo de doutorado do instituto de geociencias ;Passe Escolar;4.84%;Não analisado;
2018-11-09 19:40:25 +00:00;gostaria de saber qual o procedimento para pre matricula para aluno especial da pos;Alteração de Matrícula;6.13%;Não analisado;
2018-11-09 19:39:41 +00:00;👍;Código de Disciplina;26.84%;Não analisado;
2018-11-09 19:39:37 +00:00;quero mudar de catalogo;Mudança de catálogo;99.56%;Não analisado;
2018-11-09 19:33:29 +00:00;eu quero trocar de curso, como faco?;Cancelamento de Matrícula;6.80%;Reprovado;remanejamento_interno
2018-11-09 19:32:37 +00:00;onde troco o ra definitivo?;Cartão Universitário;50.51%;Aprovado;
2018-11-09 19:32:12 +00:00;meu cartao universitario quebrou, o que faco?;Cartão Universitário;54.38%;Aprovado;
2018-11-09 19:31:42 +00:00;nao quero mais o ra provisorio;Cartão Universitário;56.92%;Aprovado;
2018-11-09 19:31:34 +00:00;eu precisava pegar meu ra definitivo;Cartão Universitário;86.98%;Aprovado;
2018-11-09 19:31:23 +00:00;meu ra quebrou;Cartão Universitário;95.72%;Aprovado;
2018-11-09 19:31:10 +00:00;meu ra quebrou, o que eu faco?;Cartão Universitário;43.23%;Aprovado;
2018-11-09 19:03:57 +00:00;sera que vc entende quando eu pergunto assim sobre a alteracao de matricula?;Calendário;14.67%;Reprovado;alteracao_de_matricula
2018-11-09 19:03:36 +00:00;quando posso receber o diploma;Diploma;65.69%;Aprovado;
2018-11-09 19:00:04 +00:00;queria trancar uma materia;Desistência em Disciplina;91.58%;Aprovado;
2018-11-09 18:59:28 +00:00;eu queria saber como tranco uma materia;Desistência em Disciplina;55.89%;Aprovado;
2018-11-09 18:59:19 +00:00;👍;Código de Disciplina;26.84%;Deletado;
2018-11-09 18:59:13 +00:00;queria trancar uma materia;Desistência em Disciplina;91.58%;Aprovado;
2018-11-09 18:57:49 +00:00;me fala mais da alteracao de matricula;Alteração de Matrícula;75.35%;Aprovado;
2018-11-09 18:57:36 +00:00;👍;Código de Disciplina;26.84%;Deletado;
2018-11-09 18:56:40 +00:00;o que e jubilar?;Cancelamento de Matrícula;96.73%;Aprovado;
2018-11-09 18:56:20 +00:00;como funciona o jubilamento;Cancelamento de Matrícula;65.51%;Aprovado;
2018-11-09 18:56:01 +00:00;jubilamento o que e ;Cancelamento de Matrícula;80.17%;Aprovado;
2018-11-09 18:54:10 +00:00;oi, eu queria saber sobre jubilamento;Cancelamento de Matrícula;10.68%;Aprovado;
2018-11-09 18:53:47 +00:00;boa tarde;Código de Disciplina;5.53%;Deletado;
2018-11-09 18:18:01 +00:00;jubilei e agora?;Cancelamento de Matrícula;91.48%;Deletado;
2018-11-09 17:22:16 +00:00;voce nao entende preciso de um atendente;Agendamento de Atendimento;92.96%;Aprovado;
2018-11-09 14:57:06 +00:00;qual sala vai ser a aulas de ms211;Alocação de Salas;94.19%;Aprovado;
2018-11-09 14:56:55 +00:00;onde e a sala pb13;Alocação de Salas;99.16%;Aprovado;
2018-11-09 14:56:28 +00:00;onde e a sala;Alocação de Salas;99.47%;Aprovado;
2018-11-09 14:54:02 +00:00;quero atendimento presencial;Agendamento de Atendimento;70.96%;Aprovado;
2018-11-09 14:53:53 +00:00;queria agendar atendimento na dac;Agendamento de Atendimento;94.91%;Aprovado;
2018-11-09 14:53:42 +00:00;queria agendar atendimento;Agendamento de Atendimento;59.58%;Aprovado;
2018-11-09 14:53:17 +00:00;como marcar atendimento na dac;Agendamento de Atendimento;94.66%;Aprovado;
2018-11-09 14:53:06 +00:00;agendar atendimento na dac;Agendamento de Atendimento;96.61%;Aprovado;
2018-11-09 14:52:19 +00:00;posso agendar atendimento;Agendamento de Atendimento;47.92%;Aprovado;
2018-11-09 14:51:02 +00:00;perdi meu numero do protocolo;Acompanhar Protocolo;89.57%;Aprovado;
2018-11-09 14:50:49 +00:00;acompanhar situacao da minha solicitacao;Acompanhar Protocolo;88.36%;Aprovado;
2018-11-09 14:50:36 +00:00;como vejo status do meu protocolo;Acompanhar Protocolo;93.21%;Aprovado;
2018-11-09 14:50:24 +00:00;nao sei onde consultar protocolo;Acompanhar Protocolo;89.47%;Aprovado;
2018-11-09 14:49:42 +00:00;faltei muito, tem como abonar?;Abono de Falta;93.92%;Aprovado;
2018-11-09 14:49:32 +00:00;faltei na aula atestado;Abono de Falta;89.43%;Aprovado;
2018-11-09 14:49:21 +00:00;perdi prova estava doente;Abono de Falta;79.04%;Aprovado;
2018-11-09 14:49:10 +00:00;perdi muitas aulas;Abono de Falta;64.78%;Aprovado;
2018-11-09 14:48:14 +00:00;perdi varias aulas;Abono de Falta;58.92%;Aprovado;
2018-11-09 14:48:08 +00:00;perdi varias aulas;Abono de Falta;58.92%;Aprovado;
2018-11-09 14:48:00 +00:00;perdi varias aulas;Abono de Falta;58.92%;Aprovado;
2018-11-09 14:47:55 +00:00;perdi muitas aulas;Abono de Falta;64.78%;Aprovado;
2018-11-09 14:47:05 +00:00;perdi muitas aulas;Abono de Falta;39.55%;Aprovado;
2018-11-09 14:46:58 +00:00;tenho atestado para o dia da prova;Abono de Falta;74.31%;Aprovado;
2018-11-09 14:46:51 +00:00;fui ao medico na hora da prova;Abono de Falta;75.76%;Aprovado;
2018-11-09 14:46:45 +00:00;fui ao medico no dia da prova;Abono de Falta;89.23%;Aprovado;
2018-11-09 14:46:34 +00:00;faltei muitas aulas, e agora?;Abono de Falta;53.93%;Aprovado;
2018-11-09 14:46:27 +00:00;como abonar minhas faltas;Abono de Falta;99.11%;Aprovado;
2018-11-09 14:46:10 +00:00;faltei mais do que podia ;Abono de Falta;8.71%;Aprovado;
2018-11-09 14:45:23 +00:00;tenho atestado;Abono de Falta;46.88%;Aprovado;
2018-11-09 14:45:13 +00:00;acho que excedi o limite de faltas;Abono de Falta;92.96%;Aprovado;
2018-11-09 14:44:54 +00:00;perdi muitas aulas;Abono de Falta;39.55%;Aprovado;
2018-11-09 14:44:48 +00:00;perdi uma prova, posso abonar?;Abono de Falta;94.76%;Aprovado;
2018-11-09 14:44:36 +00:00;tive medico no dia da prova;Abono de Falta;54.93%;Aprovado;
2018-11-09 13:42:59 +00:00;conclui as materias do meu curriculo pleno;Diploma;91.55%;Aprovado;
2018-11-09 13:42:43 +00:00;conclui minhas disciplinas do curso;Diploma;38.17%;Aprovado;
2018-11-09 13:42:26 +00:00;cumpri a carga horaria do meu curso;Diploma;36.31%;Aprovado;
2018-11-09 13:42:18 +00:00;me formei e agora?;Diploma;63.17%;Aprovado;
2018-11-09 13:42:11 +00:00;tenho certificado de conclusao;Diploma;80.10%;Aprovado;
2018-11-09 13:41:40 +00:00;colacao de grau;Diploma;94.07%;Aprovado;
2018-11-09 13:41:26 +00:00;preciso ir na colacao de grau;Diploma;53.88%;Aprovado;
2018-11-09 13:41:19 +00:00;preciso mesmo ir na colacao de grau?;Diploma;22.22%;Aprovado;
2018-11-09 13:41:04 +00:00;conclui as materias do curso quero meu diploma;Diploma;96.93%;Aprovado;
2018-11-09 13:39:15 +00:00;passei na unicamp e agora?;Documentos para Matrícula;53.95%;Aprovado;
2018-11-09 13:39:04 +00:00;quais docs preciso para matricula;Documentos para Matrícula;76.50%;Aprovado;
2018-11-09 13:38:48 +00:00;fui aprovado na unicamp, o que preciso fazer agora?;Documentos para Matrícula;87.11%;Aprovado;
2018-11-09 13:38:35 +00:00;fui aprovado na unicamp;Documentos para Matrícula;89.72%;Aprovado;
2018-11-09 13:38:18 +00:00;passei no vestibular como fazer matricula?;Documentos para Matrícula;97.07%;Aprovado;
2018-11-09 13:38:02 +00:00;fui convocado para matricula;Documentos para Matrícula;89.05%;Aprovado;
2018-11-09 13:37:53 +00:00;quais documentos preciso para fazer matricula;Documentos para Matrícula;85.69%;Aprovado;
2018-11-09 13:37:41 +00:00;quais documentos preciso levar na matricula;Documentos para Matrícula;99.38%;Aprovado;
2018-11-09 13:37:31 +00:00;o que preciso levar no dia da matricula;Documentos para Matrícula;95.25%;Aprovado;
2018-11-09 13:37:14 +00:00;saiu o resultado do vestibular, como efetuar matricula;Documentos para Matrícula;85.76%;Aprovado;
2018-11-09 13:36:58 +00:00;passei no vestibular, o que preciso para fazer matricula?;Documentos para Matrícula;98.85%;Aprovado;
2018-11-09 13:35:08 +00:00;ql o assunto coberto pela disciplina ms211;Ementa de Disciplina;79.84%;Aprovado;
2018-11-09 13:34:54 +00:00;qual o programa da disciplina ms11;Ementa de Disciplina;74.87%;Aprovado;
2018-11-09 13:34:45 +00:00;ql o programa da disciplina;Ementa de Disciplina;67.48%;Aprovado;
2018-11-09 13:34:40 +00:00;qual o programa da disciplina;Ementa de Disciplina;73.70%;Aprovado;
2018-11-09 13:34:01 +00:00;ql o conteudo da materia ms211 ;Ementa de Disciplina;78.73%;Aprovado;
2018-11-09 13:33:55 +00:00;qual o conteudo da materia ms211;Ementa de Disciplina;80.34%;Aprovado;
2018-11-09 13:33:48 +00:00;qual o conteudo da disciplina ms211;Ementa de Disciplina;86.52%;Aprovado;
2018-11-09 13:33:40 +00:00;ql o conteudo da disciplina ms211;Ementa de Disciplina;84.90%;Aprovado;
2018-11-09 13:33:32 +00:00;qual o vonteudo da disciplina;Código de Disciplina;27.69%;Aprovado;
2018-11-09 13:33:22 +00:00;ql o conteudo da materia ms211;Ementa de Disciplina;78.73%;Aprovado;
2018-11-09 13:33:06 +00:00;qual a materia dessa disciplina;Ementa de Disciplina;85.56%;Aprovado;
2018-11-09 13:32:58 +00:00;ql a materia dessa disciplina;Ementa de Disciplina;83.70%;Aprovado;
2018-11-09 13:32:42 +00:00;ql a ementa da materia ms211;Ementa de Disciplina;66.67%;Aprovado;
2018-11-09 13:32:33 +00:00;qual a ementa da disciplina ms211;Ementa de Disciplina;75.86%;Aprovado;
2018-11-09 13:32:25 +00:00;ql a ementa da disciplina ms211;Ementa de Disciplina;75.53%;Aprovado;
2018-11-09 13:32:15 +00:00;qual a ementa da materia ms211;Ementa de Disciplina;66.08%;Aprovado;
2018-11-09 13:29:30 +00:00;qual o programa da disciplina ms211;Ementa de Disciplina;81.17%;Aprovado;
2018-11-09 13:29:21 +00:00;qual o programa da disciplina;Ementa de Disciplina;83.97%;Aprovado;
2018-11-09 13:29:12 +00:00;ql o programa da disciplina ms211;Ementa de Disciplina;59.41%;Aprovado;
2018-11-09 13:29:05 +00:00;ql o programa da disciplina;Ementa de Disciplina;62.25%;Aprovado;
2018-11-09 13:27:15 +00:00;queria saber sobre a ementa da disciplina ms211;Ementa de Disciplina;90.89%;Aprovado;
2018-11-09 13:27:05 +00:00;queria saber sobre a ementa da materia ms211;Ementa de Disciplina;92.37%;Aprovado;
2018-11-09 13:26:56 +00:00;queria saber sobre a ementa da materia;Ementa de Disciplina;93.21%;Aprovado;
2018-11-09 13:26:45 +00:00;o que vai ser ensinado em cada materia;Ementa de Disciplina;59.29%;Aprovado;
2018-11-09 13:26:29 +00:00;o que vai ser abordado na disciplina ms211;Ementa de Disciplina;86.45%;Aprovado;
2018-11-09 13:26:19 +00:00;o que vai ser abordado na materia ms211;Ementa de Disciplina;88.75%;Aprovado;
2018-11-09 13:26:08 +00:00;o que vai ser coberto pela disciplina ms211;Ementa de Disciplina;87.40%;Aprovado;
2018-11-09 13:25:58 +00:00;o que vai ser coberto pela materia ms211;Ementa de Disciplina;89.56%;Aprovado;
2018-11-09 13:25:49 +00:00;o que vai ser coberto pela materia;Ementa de Disciplina;90.79%;Aprovado;
2018-11-09 13:25:42 +00:00;o que vai ser coberto pela disciplina;Ementa de Disciplina;88.78%;Aprovado;
2018-11-09 13:25:34 +00:00;o que vai ser abordado na materia;Ementa de Disciplina;90.09%;Aprovado;
2018-11-09 13:25:28 +00:00;o que vai ser abordado na disciplina;Ementa de Disciplina;87.93%;Aprovado;
2018-11-09 13:25:19 +00:00;o que vai ser ensinado na disciplina;Ementa de Disciplina;46.22%;Aprovado;
2018-11-09 13:19:49 +00:00;onde encontro os conteudos da disciplina;Ementa de Disciplina;52.73%;Aprovado;
2018-11-09 13:19:34 +00:00;onde encontro os conteudos abordados nas disciplinas?;Ementa de Disciplina;1.80%;Aprovado;
2018-11-09 13:18:34 +00:00;qual o assunto coberto pela disciplina;Ementa de Disciplina;8.44%;Aprovado;
2018-11-09 13:18:21 +00:00;qual o topico coberto pela disciplina;Ementa de Disciplina;10.61%;Aprovado;
2018-11-09 13:16:35 +00:00;programa da disciplina;Ementa de Disciplina;88.20%;Aprovado;
2018-11-09 13:16:21 +00:00;quais assuntos serao abordados na disciplina;Ementa de Disciplina;96.17%;Aprovado;
2018-11-09 13:16:06 +00:00;quais assuntos serao cobertos pela disciplina;Ementa de Disciplina;94.76%;Aprovado;
2018-11-09 13:15:57 +00:00;qual assunto sera coberto pela disciplina;Ementa de Disciplina;4.42%;Aprovado;
2018-11-09 13:15:40 +00:00;ql a ementa da disciplina;Ementa de Disciplina;79.61%;Aprovado;
2018-11-09 13:15:29 +00:00;quais assuntos serao cobertos pela disciplina;Ementa de Disciplina;94.76%;Aprovado;
2018-11-09 13:15:17 +00:00;quais topicos serao abordados na disciplina;Ementa de Disciplina;95.72%;Aprovado;
2018-11-09 13:13:15 +00:00;onde encontro os topicos que serao abordados na materia?;Ementa de Disciplina;96.07%;Aprovado;
2018-11-09 13:13:00 +00:00;onde encontro os conteudos abordados nas disciplinas?;Alteração de Matrícula;1.66%;Aprovado;
2018-11-09 13:12:25 +00:00;quall o programa da disciplina ms211;Ementa de Disciplina;87.80%;Aprovado;
2018-11-09 13:12:13 +00:00;qual o programa da disciplian ms211;Ementa de Disciplina;9.87%;Aprovado;
2018-11-09 13:12:03 +00:00;ql a ementa da materia ms211;Ementa de Disciplina;80.72%;Aprovado;
2018-11-09 13:11:56 +00:00;ql a ementa da disciplina ms211;Ementa de Disciplina;76.92%;Aprovado;
2018-11-09 13:11:46 +00:00;qual a ementa da materia ms211;Ementa de Disciplina;91.27%;Aprovado;
2018-11-09 13:11:27 +00:00;qual a ementa da disciplina ms211;Ementa de Disciplina;88.06%;Aprovado;
2018-11-09 13:09:02 +00:00;quero ter duplo diploma;Intercâmbio;47.13%;Aprovado;
2018-11-09 13:08:56 +00:00;quero fazer duplo diploma;Intercâmbio;71.67%;Aprovado;
2018-11-09 13:08:46 +00:00;o que e duplo diploma?;Intercâmbio;70.62%;Aprovado;
2018-11-09 13:06:51 +00:00;quero fazer duplo diploma;Intercâmbio;79.83%;Aprovado;
2018-11-09 13:06:26 +00:00;o que e duplo diploma?;Intercâmbio;35.68%;Aprovado;
2018-11-09 13:06:19 +00:00;o que devo saber sobre duplo diploma?;Intercâmbio;31.66%;Aprovado;
2018-11-09 13:05:19 +00:00;o que devo saber sobre duplo diploma?;Diploma;13.83%;Aprovado;
2018-11-09 13:04:52 +00:00;posso estudar fora do brasil?;Intercâmbio;84.98%;Aprovado;
2018-11-09 13:04:40 +00:00;posso fazer materias em faculdade fora do brasil?;Intercâmbio;41.22%;Aprovado;
2018-11-09 13:04:19 +00:00;tem algum edital de intercambio aberto?;Intercâmbio;88.37%;Aprovado;
2018-11-09 13:04:10 +00:00;tem algum edital aberto?;Intercâmbio;3.03%;Aprovado;
2018-11-09 13:04:02 +00:00;como sao as bolsas de intercambio?;Intercâmbio;87.05%;Aprovado;
2018-11-09 13:03:49 +00:00;quero saber mais sobre graduacao sanduiche;Intercâmbio;81.97%;Aprovado;
2018-11-09 13:03:22 +00:00;como mudar de catalogo?;Mudança de catálogo;99.60%;Aprovado;
2018-11-09 13:02:41 +00:00;posso mudar para um catalogo mais recente?;Mudança de catálogo;97.07%;Aprovado;
2018-11-09 13:02:29 +00:00;posso mudar para um catalogo mais antigo?;Mudança de catálogo;97.63%;Aprovado;
2018-11-09 13:02:20 +00:00;posso pedir retorno de catalogo?;Mudança de catálogo;89.46%;Aprovado;
2018-11-09 13:01:18 +00:00;posso pedir retorno de catalogo?;Mudança de catálogo;89.45%;Aprovado;
2018-11-09 03:22:00 +00:00;👍;Código de Disciplina;15.34%;Deletado;
2018-11-09 03:21:10 +00:00;tenho baixa renda, existe programa de bolsa?;Bolsas;83.84%;Aprovado;
2018-11-09 03:20:53 +00:00;tem algum edital de intercambio aberto?;Intercâmbio;88.41%;Aprovado;
2018-11-09 03:20:18 +00:00;quero fazer intercambio;Intercâmbio;99.58%;Aprovado;
2018-11-09 03:07:28 +00:00;quero saber mais sobre alteracao de matricula;Alteração de Matrícula;75.37%;Aprovado;
2018-11-09 03:07:18 +00:00;a;Alocação de Salas;14.23%;Deletado;
2018-11-09 03:06:15 +00:00;a;Alocação de Salas;14.23%;Deletado;
2018-11-09 03:02:00 +00:00;duvida;Código de Disciplina;15.34%;Deletado;
2018-11-09 02:57:54 +00:00;👍;Código de Disciplina;15.34%;Deletado;
2018-11-09 02:57:25 +00:00;qual o procedimento para alterar matricula;Alteração de Matrícula;79.15%;Aprovado;
2018-11-09 02:55:23 +00:00;abono de falta;Abono de Falta;77.74%;Aprovado;
2018-11-09 02:54:14 +00:00;alt matricula;Alteração de Matrícula;17.28%;Aprovado;
2018-11-09 02:54:09 +00:00;alterar matricula;Alteração de Matrícula;77.66%;Aprovado;
2018-11-09 02:54:05 +00:00;matricula;Alteração de Matrícula;67.88%;Não analisado;
2018-11-09 02:52:17 +00:00;oi;Código de Disciplina;15.34%;Deletado;
2018-11-09 02:47:10 +00:00;alteracao de matricula ;Alteração de Matrícula;93.06%;Aprovado;
2018-11-09 02:45:49 +00:00;alteracao de matricula;Alteração de Matrícula;93.06%;Aprovado;
2018-11-09 02:39:27 +00:00;procedimento de alteracao de matricula;Alteração de Matrícula;97.96%;Aprovado;
2018-11-09 02:38:12 +00:00;procedimento de alteracao de matricula;Alteração de Matrícula;97.96%;Aprovado;
2018-11-09 02:37:22 +00:00;procedimento da alteracao de matricula;Alteração de Matrícula;97.87%;Aprovado;
2018-11-09 02:37:14 +00:00;como alterar as disciplinas;Alteração de Matrícula;41.50%;Aprovado;
2018-11-09 02:36:18 +00:00;quero alterar minhas disciplinas;Alteração de Matrícula;62.99%;Aprovado;
2018-11-09 02:35:45 +00:00;qua e a disciplina ma211;Código de Disciplina;9.39%;Aprovado;
2018-11-09 02:35:37 +00:00;qual o nome da disciplina ms211;Código de Disciplina;49.59%;Aprovado;
2018-11-09 02:35:31 +00:00;qual o nome da disciplina ma211w;Código de Disciplina;49.59%;Aprovado;
2018-11-09 02:35:04 +00:00;existe bolsa de estudos na unicamp?;Bolsas;98.79%;Aprovado;
2018-11-09 02:34:24 +00:00;codigo da disciplina;Código de Disciplina;95.82%;Aprovado;
2018-11-09 02:34:06 +00:00;e possivel aproveitar materias que ja cursei?;Aproveitamento de Estudos;99.90%;Aprovado;
2018-11-09 02:33:07 +00:00;como faco para abonar faltas?;Abono de Falta;95.74%;Aprovado;
2018-11-09 02:32:55 +00:00;quais os cursos da unicamp?;Cursos;98.87%;Aprovado;
2018-11-09 02:30:57 +00:00;qual o nome da disciplina ms211;Código de Disciplina;49.21%;Aprovado;
2018-11-09 02:30:49 +00:00;qual o nome da disciplina;Código de Disciplina;70.55%;Aprovado;
2018-11-09 02:30:38 +00:00;qual o nome da materia ms211;Código de Disciplina;68.08%;Aprovado;
2018-11-09 02:30:31 +00:00;qual o nome da materia;Código de Disciplina;84.56%;Aprovado;
2018-11-09 02:30:21 +00:00;qual o nome da disciplina ms211;Código de Disciplina;49.21%;Aprovado;
2018-11-09 02:30:08 +00:00;qual a disciplina mc211;Código de Disciplina;22.50%;Aprovado;
2018-11-09 02:29:53 +00:00;cumpri a carga horaria do meu curso;Diploma;34.82%;Aprovado;
